text,label
Just enough sugar and alot less than any other regular frosted flakes I used to eat before being diagnosed celiac.,i
Product stays crisp in the box withouth resealing.,e
And stays crisp in a bowl of milk.,i
It is not often that a gluten free product exactly mimics the mainstream item but this one certainly does.,i
Tip: The manufacturer makes the same product for adults but it costs more So get this one the Kidz version,e
I have Celiacs disease and must eat a gluten free diet or I get very ill.,i
It is great to find a cereal that NEVER makes me ill It is 100 gluten freeI also love the taste of this gluten free cereal This cereal is like corn flakes but without being boring In fact I mix them with plain puffed rice to lessen the fruity flavor because I like milder tastes and do not have a big sweet tooth.Anyway I love this cereal and highly recommend it to people on gluten free diets...BUT if you can eat whole grain cereals like wheat and oats EAT THOSE INSTEAD because they contain FIBER which is very needed in keeping your digestive tract healthy.This cereal is created and designed for those of us who cannot eat whole grains.MY FAVORITE CEREAL MIX:1.,i
Amazon FlakesThe mixture is SO good that even nonCeliacs want to eat it,i
Nature's Path Organic Mesa Sunrise Cereal is a delicious alternative to corn flakes.,i
It has a heartydelicious flavor.,i
It contains quinoa the revered grain of the Incas and amaranth the health grain of the Aztecs For a cold cerealit's quite good.,i
It also makes a great snack Take a biteand imagine the mesas and canyons.,e
This cereal is very good but somewhat hard to find in the store.,e
It has a flavor that I can't quite describe somewhat more subtle than regular corn flakes.,i
The flakes are thick and crispy even with milk and not overly sweet.,i
I really really like these but can't get them a lot of the time unless I run to a local coop...and even then they don't always have them sadly.I would recommend trying this cereal out if you are gluten free or cutting back on wheat and get tired of rice cereals.,e
Its an added plus that its organic and has flax in it because flax is very good for you.,i
But then I've had good luck with products by Nature's Path and this is no exception.,e
A pack of six seems like a lot of cereal but not for a family and I do think that they will appeal to most kids.,e
At least kids who don't expect it to be as sweet as many other breakfast cereals and getting used to eating less sugar is a good thing anyway.These make me want to try out other products made with amaranth...,i
I like black pepper.,i
When I cook I grind my own and use as much as is called for by the recipe.,i
On those recipes that I consider keepers and decide to tweak one of the most freqent changes I make is to add more pepper.,i
I tell you all this so you will understand that I'm not a Casper Milquetoast who can't tolerate anything spicier than corn flakes.,i
I am fond of spicy foods and when I order them in restaurants I do NOT tell the waiter Mild please.The idea of putting pepper on nuts is I think a good one and could work well.,i
But there is just too much pepper in these.,i
And not a little too much a LOT too much.The nuts themselves seem fine.,i
Nice and fresh with good texture.,i
I think the amount of salt is good but that's difficult to determine with taste buds overwhelmed by pepper.If Emerald would use a quarter to a half as much pepper I think this could be a winner.,i
Fiber One Raisin Bran Clusters are simply put delicious.,i
Fiber One took a great type of cereal and made it taste much much better than the other Raisin Bran cereals out there.,i
In addition this cereal is truly chock full of dietary fiber.,i
It tastes great in milk and it even makes a good snack for when you're on the go.In addition the cereal has potassium iron and zero cholesterol.,i
ExcellentUnfortunately however all this goodness comes at a price.,e
There's a lot of dietary fiber; but this also contains a comparatively level of carbohydrates in each portion.,i
Perhaps you think that 45 grams of carbs per cup is OK; and maybe it is if you don't have a diet filled with carbs the rest of your day.,e
